mews_name,mews_clean,lon,lat,type,loctype,address,north,south,east,west
the-cobbled-yard,"The Cobbled Yard, London",-0.0790908,51.5625218,establishment,rooftop,"1 bouverie rd, stoke newington, london n16 0ah, uk",51.5638707802915,51.5611728197085,-0.077741819708498,-0.080439780291502
taunton-mews,"Taunton Mews, London",-0.1616289,51.523408,route,geometric_center,"taunton mews, marylebone, london nw1, uk",51.5247672802915,51.5220693197085,-0.160327619708498,-0.163025580291502
swan-yard,"Swan Yard, London",-0.1039526,51.5455823,route,geometric_center,"swan yard, london, uk",51.5469119802915,51.5442140197085,-0.102614269708498,-0.105312230291502
sussex-mews-west,"Sussex Mews West, London",-0.1744151,51.5127978,route,geometric_center,"sussex mews w, tyburnia, london w2, uk",51.5140817802915,51.5113838197085,-0.172967019708498,-0.175664980291502
sumner-place-mews,"Sumner Place Mews, London",-0.1745809,51.4928945,route,geometric_center,"sumner place mews, south kensington, london sw7, uk",51.4940957802915,51.4913978197085,-0.173542719708498,-0.176240680291502
studio-place,"Studio Place, London",-0.1571158,51.5019304,route,geometric_center,"studio pl, belgravia, london sw1x, uk",51.5032552802915,51.5005573197085,-0.156020219708498,-0.158718180291502
stonnells-road,"Stonnells Road, London",-0.1626721,51.4553776,route,geometric_center,"stonnell's rd, london sw11, uk",51.4564389302915,51.4537409697085,-0.161102369708498,-0.163800330291502
steeles-mews-north,"Steeles Mews North, London",-0.1589096,51.5465754,route,geometric_center,"steeles mews n, london nw3, uk",51.5478369302915,51.5451389697085,-0.157331769708498,-0.160029730291502
stanhope-mews-west,"Stanhope Mews West, London",-0.1819372,51.4942724,route,geometric_center,"stanhope mews w, south kensington, london sw7, uk",51.4956040802915,51.4929061197085,-0.180583769708498,-0.183281730291502
stanhope-mews-south,"Stanhope Mews South, London",-0.180992,51.4931961,route,geometric_center,"stanhope mews s, south kensington, london sw7, uk",51.4945380802915,51.4918401197085,-0.179658769708498,-0.182356730291502
st-stephens-mews,"St Stephens Mews, London",-0.1958538,51.5187856,route,geometric_center,"st stephen's mews, london w2, uk",51.5201773802915,51.5174794197085,-0.194384919708498,-0.197082880291502
st-petersburgh-mews,"St Petersburgh Mews, London",-0.1901377,51.5116912,route,geometric_center,"st petersburgh mews, bayswater, london w2, uk",51.5130460802915,51.5103481197085,-0.188792119708498,-0.191490080291502
st-peters-street-mews,"St Peters Street Mews, London",-0.0993553,51.5350799,route,geometric_center,"st peter's st, islington, london n1, uk",51.5366501,51.5332853,-0.0972095,-0.102092
st-lukes-mews,"St Lukes Mews, London",-0.2033689,51.5177784,route,geometric_center,"st lukes mews, notting hill, london w11, uk",51.5190555802915,51.5163576197085,-0.2016856,-0.2050191
st-georges-mews,"St Georges Mews, London",-0.1578636,51.5407439,route,geometric_center,"st george's mews, camden town, london nw3, uk",51.5421679302915,51.5394699697085,-0.156712619708498,-0.159410580291502
st-georges-square-mews,"St Georges Square Mews, London",-0.1334871,51.4869055,route,geometric_center,"st george's square mews, pimlico, london sw1v, uk",51.4883208802915,51.4856229197085,-0.132082719708498,-0.134780680291502
st-anselms-place,"St Anselms Place, London",-0.1494107,51.5131966,route,geometric_center,"st anselm's pl, mayfair, london w1k, uk",51.5145784802915,51.5118805197085,-0.147800469708498,-0.150498430291502
spear-mews,"Spear Mews, London",-0.1947511,51.4927182,route,geometric_center,"spear mews, earl's court, london sw5, uk",51.4941056802915,51.4914077197085,-0.193351719708498,-0.196049680291502
southwick-mews,"Southwick Mews, London",-0.1711316,51.5166632,route,geometric_center,"southwick mews, paddington, london w2, uk",51.5179568302915,51.5152588697085,-0.169875519708498,-0.172573480291502
south-crescent-mews,"South Crescent Mews, London",-0.1320062,51.5193751,route,geometric_center,"south cres, bloomsbury, london w1t, uk",51.5208615302915,51.5181635697085,-0.130772069708498,-0.133470030291502
smallbrook-mews,"Smallbrook Mews, London",,,,,,,,,
sherlock-mews,"Sherlock Mews, London",-0.1561658,51.520586,route,geometric_center,"sherlock mews, marylebone, london w1u, uk",51.5220229802915,51.5193250197085,-0.154863069708498,-0.157561030291502
shafto-mews,"Shafto Mews, London",-0.1605981,51.4963801,route,geometric_center,"shafto mews, chelsea, london sw1x, uk",51.4976872802915,51.4949893197085,-0.159642619708498,-0.162340580291502
seymour-mews,"Seymour Mews, London",-0.1535099,51.5160925,route,geometric_center,"seymour mews, marylebone, london, uk",51.5173855302915,51.5146875697085,-0.152124619708498,-0.154822580291502
scampston-mews,"Scampston Mews, London",-0.2166153,51.5166742,route,geometric_center,"scampston mews, london w10, uk",51.5180462802915,51.5153483197085,-0.215216919708498,-0.217914880291502
ryders-terrace,"Ryders Terrace, London",-0.1825325,51.5352106,route,geometric_center,"ryder's terrace, st john's wood, london nw8, uk",51.5365458302915,51.5338478697085,-0.181196019708498,-0.183893980291502
